,20,25,30,35,40,45,50,55,60,65,70,75,80
50,1.087991296,1.163533297,1.292011519,1.432286539,1.60238902,1.696651512,2.210765996,2.345568865,2.201344784,2.394196158,1.972288473,1.675032843,1.50089819
40,1.147296744,1.290997037,1.482608366,1.756252115,2.098057977,2.336359532,3.300236379,3.77139875,3.680012238,4.149424039,3.671354125,3.340911412,3.215488897
30,1.277690773,1.54088664,1.895304375,2.418855602,3.210133656,3.759471304,5.808265762,7.09426495,7.484805317,9.130547027,8.130460109,8.152961644,8.020098838
20,1.605855893,2.115602665,2.956000545,4.429781731,6.455774779,8.13191939,13.1756308,17.47361752,19.53300805,23.90478298,21.27518608,21.78807053,22.78790894
18,1.719286935,2.335439762,3.332661505,5.034955125,7.740952547,9.637607897,16.07638565,21.26595808,24.27654418,28.68400256,26.11391927,26.90036318,28.40809227
16,1.80717766,2.593631223,3.820607301,5.96720585,9.387207653,11.69368567,19.72925572,26.90900972,30.4341025,36.0186669,32.29141256,33.4187676,35.30109555
14,1.896312721,2.799616652,4.400672769,7.181814113,11.44736412,14.54344789,24.2854671,32.46878344,38.13307015,44.33853659,39.786476,40.83363502,43.97625353
12,1.913015424,3.051185631,4.956258379,8.159911447,13.82908948,17.26933512,29.57545613,38.50231288,47.34995081,53.84170839,48.38627508,49.96082127,53.98321575
10,1.809325658,3.171215532,5.469839202,9.063252749,16.15412268,19.24431688,35.27091204,43.83714594,57.63515246,60.77128134,57.65869674,56.74358483,65.46172266
8,1.542680959,2.657428404,5.617580875,8.285707579,17.67510942,18.0737162,39.73139596,41.68894527,66.8233066,59.37554719,65.24050507,56.389964,76.21139273
6,1.167131126,1.508924743,5.044790221,5.012879942,16.70508149,11.11867723,39.03243003,25.80322276,66.83977916,37.9383788,63.70770816,36.27115743,77.74322539
4,0.632716454,0.368065603,2.838640532,1.245102374,8.967342242,2.602974489,21.16422561,5.971155109,35.47538639,9.027466492,33.34815791,8.398957261,43.21656538
2,0.013796074,0.031861884,0.044322696,0.101769946,0.111504,0.185192619,0.248410983,0.407283841,0.353445022,0.686431387,0.430345394,0.566633898,0.621449513
